TrackID,variant,a,b,c,d,r2
4507,without,0.6100980753421461,0.5609961396813216,-2.6391550395803325,0.6888995586059594,0.7743176279179798
4509,without,0.7057851395612593,0.5066634545331103,-2.4468897236751173,0.8449015303115595,0.8640408486789839
4511,without,0.3410424717185655,0.4826456662981867,-2.1553893886472935,0.551692920236609,0.5537378378862727
4513,without,0.5975803768060226,0.5235291413114889,-2.4808761088394533,0.8267651029286144,0.8510795097203323
4515,without,0.5511133267406154,0.5295561907883818,-2.3751120890131228,0.695126499086146,0.7526331011938939
4517,without,0.6229275628414888,0.5060220752246534,-2.1364701196371545,1.2414861326949391,0.7276414896538599
4519,without,0.5650398900696312,0.48592127620817405,-2.06502947833083,0.943804790763377,0.7877780250862831
6503,without,0.46032081986644324,0.5060058399748202,-2.223087814292961,0.6460782085619389,0.7745035819115207
6507,without,0.4417628424685726,0.49682172355157345,-2.3124333700456656,0.6594685405492549,0.7932837927040264
6521,without,0.43271922241298144,0.5231381659302624,-2.458360489339736,0.5717786498705986,0.8006404208149807
