YearMonth,vae_with_dist,vae_without_dist,iso_score,pca_recon_err,raw_distance
2024-05,0.0,0.0,0.44774372788739386,0.29465327,0.0
2024-06,0.3961491286754608,0.19458897411823273,0.44947846988965984,0.2768821,4.748652458190918
2024-07,0.7730133533477783,0.29201626777648926,0.45221342932997494,0.2545696,7.532822132110596
2024-08,0.7519454956054688,0.32922595739364624,0.45323710698038794,0.2557594,15.63090991973877
2024-09,0.23566341400146484,0.26611822843551636,0.44902170211882897,0.2784385,7.9707841873168945
2024-10,0.669888973236084,0.566001832485199,0.4455703599346537,0.29205394,12.947574615478516
2024-11,1.2723697423934937,1.1448974609375,0.4508970168962483,0.27468073,16.36130142211914
2024-12,1.4040502309799194,1.2997186183929443,0.4516747040706832,0.25315097,19.67702293395996
2025-01,1.341429591178894,1.219440221786499,0.45139690426934415,0.2531701,19.310543060302734
2025-02,1.4221092462539673,1.2486176490783691,0.4545544217453041,0.26029614,21.228641510009766
2025-03,0.9431205987930298,0.8070902824401855,0.44867422703243665,0.2726883,21.541431427001953
2025-04,0.49103641510009766,0.400870144367218,0.45227934276276915,0.30234247,15.132614135742188
2025-05,0.43247315287590027,0.31537628173828125,0.45241720553196946,0.30987573,24.33688735961914
2025-06,0.5677239894866943,0.289425790309906,0.4580244273763691,0.28034568,7.314494609832764
2025-07,0.4731573462486267,0.2347915768623352,0.45208127404044823,0.2759857,15.407634735107422
2025-08,0.4955756366252899,0.2382536381483078,0.45573714633449713,0.28781465,21.667346954345703
2025-09,0.1752750426530838,0.19976232945919037,0.4519607568193141,0.30271628,20.850059509277344
2025-10,0.842695951461792,0.7383948564529419,0.44852713546813355,0.28563088,11.534119606018066
2025-11,1.288670301437378,1.1685459613800049,0.45234797331718174,0.270468,17.643630981445312
2025-12,1.370687484741211,1.3114013671875,0.45213106924423563,0.25473237,24.902677536010742
